"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 11 11:53:42 EEST 2020","Tue Aug 11 11:53:42 EEST 2020","2","","Second test: This is a second test","","Second test: This is a second test","Hook","Hook",""
"passed","Tue Aug 11 11:53:28 EEST 2020","Tue Aug 11 11:53:41 EEST 2020","12352","","Third test: This is a third test","","Third test: This is a third test","Given The user opens the test automation practice web page","Given The user opens the test automation practice web page",""
"passed","Tue Aug 11 11:53:42 EEST 2020","Tue Aug 11 11:53:44 EEST 2020","1033","","First test: This is a first test","","First test: This is a first test","Then The user checks if the display box is ""hidden""","Then The user checks if the display box is ""hidden""",""
"passed","Tue Aug 11 11:53:44 EEST 2020","Tue Aug 11 11:53:44 EEST 2020","1","","First test: This is a first test","","First test: This is a first test","Hook","Hook",""
"passed","Tue Aug 11 11:53:44 EEST 2020","Tue Aug 11 11:53:44 EEST 2020","1","","Third test: This is a third test","","Third test: This is a third test","Hook","Hook",""
"passed","Tue Aug 11 11:53:41 EEST 2020","Tue Aug 11 11:53:44 EEST 2020","2205","","Third test: This is a third test","","Third test: This is a third test","When The user searches for ""United"" in the autosuggest field","When The user searches for ""United"" in the autosuggest field",""
"passed","Tue Aug 11 11:53:42 EEST 2020","Tue Aug 11 11:53:42 EEST 2020","499","","First test: This is a first test","","First test: This is a first test","Then The user checks that the page title is ""Practice Page""","Then The user checks that the page title is ""Practice Page""",""
"passed","Tue Aug 11 11:53:41 EEST 2020","Tue Aug 11 11:53:41 EEST 2020","28","","Second test: This is a second test","","Second test: This is a second test","Then The user checks that the page title is ""Practice Page""","Then The user checks that the page title is ""Practice Page""",""
"passed","Tue Aug 11 11:53:41 EEST 2020","Tue Aug 11 11:53:41 EEST 2020","543","","Third test: This is a third test","","Third test: This is a third test","Then The user checks that the page title is ""Practice Page""","Then The user checks that the page title is ""Practice Page""",""
"passed","Tue Aug 11 11:53:28 EEST 2020","Tue Aug 11 11:53:42 EEST 2020","13390","","First test: This is a first test","","First test: This is a first test","Given The user opens the test automation practice web page","Given The user opens the test automation practice web page",""
"passed","Tue Aug 11 11:53:41 EEST 2020","Tue Aug 11 11:53:42 EEST 2020","266","","Second test: This is a second test","","Second test: This is a second test","When The user selects the ""option3"" option in the dropdown","When The user selects the ""option3"" option in the dropdown",""
"passed","Tue Aug 11 11:53:28 EEST 2020","Tue Aug 11 11:53:41 EEST 2020","13037","","Second test: This is a second test","","Second test: This is a second test","Given The user opens the test automation practice web page","Given The user opens the test automation practice web page",""
"passed","Tue Aug 11 11:53:42 EEST 2020","Tue Aug 11 11:53:42 EEST 2020","160","","First test: This is a first test","","First test: This is a first test","When The user clicks the hide button","When The user clicks the hide button",""
